"18234891234"^*"100"^*"100"^*"10000"^*"12997801"^*"100"^*"100"^*"10000"^*"0"^*"0"^*"0"^*"BR"^*"91827359013413"^*"123"^*"12300"^*"2019-03-01 00:00:00"^*"13007801"^*"0"^*"0"^*"0"^*"13007801"^*"0"^*"CNY"^*"0"^*"0"^*"0"^*"00"^*"BOND"^*"DEF"^*"DEF"^*"0"^*""^*"23"^*""^*""^*""^*"2300"^*
"000301"^*"100000"^*"10000"^*"1000000000"^*"100000000"^*"10000"^*"100000"^*"1000000000"^*"0"^*"0"^*"0"^*"BR"^*"91827359013413"^*"9889787"^*"988978700000"^*"2019-03-01 00:00:00"^*"100000000"^*""^*""^*""^*"100000000"^*""^*"CNY"^*""^*"0"^*"0"^*"00"^*"BOND"^*"03"^*"05"^*"0"^*"0"^*"98797.87"^*""^*""^*""^*"987978700000"^*
"zqfx"^*"20000"^*"0"^*"0"^*"6000000"^*"0"^*"0"^*"0"^*"20000000"^*"20000"^*"400000000000"^*"BR"^*"91827359013413"^*""^*""^*"2019-03-01 00:00:00"^*"-399994000000"^*""^*"400000000000"^*""^*"6000000"^*""^*"CNY"^*""^*""^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*"0"^*"400000000000"^*""^*""^*""^*""^*"0"^*
"BONDSZ76524"^*"3444"^*"3225903.758"^*"11110012542"^*"0"^*"3225903.758"^*"3444"^*"11110012542"^*"0"^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*""^*"2019-03-01 00:00:00"^*""^*""^*""^*""^*""^*""^*"HKD"^*""^*"23589987423"^*"23589987423"^*"00"^*"BOND"^*"01"^*"01"^*"0"^*"0"^*"-100"^*""^*""^*""^*"0"^*
"20180702"^*"20000"^*"100000"^*"2000000000"^*"0"^*"100000"^*"20000"^*"2000000000"^*"0"^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*""^*"2019-03-01 00:00:00"^*""^*""^*""^*""^*""^*""^*"CNY"^*""^*"80675066292"^*"80675066292"^*"00"^*"BOND"^*"DEF"^*"DEF"^*"0"^*"0"^*"-100"^*""^*""^*""^*"0"^*
"ZQFX0226"^*"10000"^*"0"^*"0"^*"1000000"^*"0"^*"0"^*"0"^*"100"^*"10000"^*"1000000"^*"BR"^*"91827359013413"^*""^*""^*"2019-03-01 00:00:00"^*"0"^*""^*"1000000"^*""^*"1000000"^*""^*"CNY"^*""^*""^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*"0"^*"1000000"^*""^*""^*""^*""^*"0"^*
"XINZQ"^*"0"^*"0"^*"0"^*"-999999970000"^*"0"^*"0"^*"0"^*""^*"0"^*"0"^*"BR"^*"91827359013413"^*""^*""^*"2019-03-01 00:00:00"^*"-999999970000"^*""^*"0"^*""^*"-999999970000"^*""^*"CNY"^*""^*""^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*"0"^*"0"^*""^*""^*""^*""^*"0"^*
"18234891234"^*"123123"^*"-54651"^*"-6728795073"^*"1324534"^*"-54651"^*"123123"^*"-6728795073"^*"0"^*"0"^*"0"^*"BR"^*"123123"^*"123"^*"15144129"^*"2019-03-01 00:00:00"^*"1324534"^*""^*""^*""^*"1324534"^*""^*"CNY"^*""^*"0"^*"0"^*"00"^*"BOND"^*"01"^*"01"^*"144"^*"0"^*"-100.23"^*""^*""^*""^*"6743939202"^*
"ZQ95135241"^*"1000"^*"0"^*"0"^*"100000"^*"0"^*"0"^*"0"^*"50000"^*"1000"^*"50000000"^*"BR"^*"91827359013413"^*""^*""^*"2019-03-01 00:00:00"^*"-49900000"^*""^*"50000000"^*""^*"100000"^*""^*"CNY"^*""^*""^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*"0"^*"50000000"^*""^*""^*""^*""^*"0"^*
"123123"^*"312312"^*"0"^*"0"^*"31231200"^*"0"^*"0"^*"0"^*"321231"^*"312312"^*"100324296072"^*"BR"^*"91827359013413"^*""^*""^*"2019-03-01 00:00:00"^*"-100293064872"^*""^*"100324296072"^*""^*"31231200"^*""^*"CNY"^*""^*""^*"0"^*"00"^*"BND_ISSUE"^*"01"^*"01"^*"0"^*"100324296072"^*""^*""^*""^*""^*"0"^*
